0,1,1,0,0,0,0,0,0,897,947,695,814,890,702,804,706,703,0,1
1,1,0,1,0,0,0,0,0,947,695,620,890,702,576,706,703,617,0,1
1,0,0,1,0,0,1,0,0,1164,822,810,695,620,753,702,576,617,0,1
1,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,526,203,454,266,239,716,215,318,-10,0,1
1,1,0,1,0,0,0,0,0,947,695,620,890,702,576,706,703,617,0,1
0,1,0,0,0,0,0,0,0,0,0,267,0,0,247,1104,749,384,0,1
0,0,-1,1,0,-1,0,-1,-1,632,1266,1323,670,953,501,819,588,353,0,1
0,0,0,1,0,0,0,-1,-1,684,1269,1949,356,826,1210,481,699,1143,0,1
0,1,0,0,0,-1,0,0,-1,502,356,826,513,481,699,599,669,679,0,1
0,0,0,1,0,0,-1,-1,-1,240,462,1239,317,520,-10,366,-10,-10,0,1
1,0,0,0,0,0,0,0,-1,564,1089,1425,606,844,1214,608,558,952,0,1
0,1,0,0,0,0,0,0,0,127,64,329,164,151,242,180,231,217,0,1
1,0,0,-1,0,0,-1,-1,0,667,943,1601,-10,805,1632,-10,-10,1561,0,1
0,0,0,1,0,-1,0,-1,-1,3140,2163,806,2813,1429,-10,2445,1225,-10,0,1
1,1,0,0,0,0,1,0,0,224,238,210,248,177,168,389,239,0,0,1
1,0,0,0,0,0,0,0,0,267,0,0,0,289,0,249,275,0,0,1
1,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,326,-10,0,1
1,0,0,0,0,0,0,0,0,433,557,315,494,522,456,0,424,348,0,1
0,0,0,1,0,0,1,0,0,613,586,1127,518,454,943,586,566,755,0,1
1,0,0,1,0,0,0,0,0,518,454,943,586,566,755,647,576,596,0,1
0,1,0,0,0,0,0,0,0,1149,586,566,1093,647,576,1115,762,836,0,1
1,0,0,0,0,0,0,0,0,586,566,755,647,576,596,762,836,853,0,1
1,0,0,0,0,0,0,1,0,281,668,828,95,322,974,107,114,688,0,1
0,0,0,1,0,0,0,0,0,541,505,596,503,520,633,506,535,676,0,1
0,0,0,1,0,0,0,0,0,532,493,1271,554,438,940,649,439,670,0,1
1,0,0,0,0,0,0,0,0,503,520,633,506,535,676,505,530,745,0,1
0,1,0,0,0,0,0,0,1,795,554,438,1079,649,439,1505,780,524,0,1
1,0,0,0,0,0,0,1,0,554,438,940,649,439,670,780,524,700,0,1
0,1,0,0,0,0,0,0,0,780,524,700,817,570,-10,827,590,-10,0,1
0,1,0,0,0,0,0,0,0,427,215,318,552,404,306,516,387,360,0,1
1,0,0,0,0,0,0,0,0,12,12,0,16,12,12,62,27,12,0,1
0,1,0,0,0,0,0,0,0,0,0,69,0,78,25,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,291,0,0,0,542,0,324,0,0,1
0,1,0,0,0,0,0,0,0,289,347,0,322,340,448,295,296,409,0,1
1,0,1,0,0,0,0,0,0,347,0,429,340,448,377,296,409,699,0,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,-10,0,0,0,0,1
0,1,0,0,0,0,0,1,0,1068,520,645,1346,568,726,1402,613,586,0,1
0,1,1,0,0,0,0,0,0,1093,647,576,1115,762,836,1078,776,857,0,1
0,1,1,0,0,1,0,0,0,692,565,472,832,564,475,975,665,526,0,1
0,1,0,0,0,0,0,0,0,533,525,771,477,514,744,365,415,622,0,1
0,1,0,0,0,0,0,0,0,507,456,506,480,402,456,503,481,570,0,1
0,1,0,0,0,0,0,0,1,116,244,973,103,102,449,177,86,118,0,1
1,0,0,1,0,0,1,0,0,151,242,647,231,217,678,212,184,196,0,1
1,0,0,0,0,1,0,0,0,212,184,196,152,211,179,162,249,283,0,1
0,1,0,-1,0,0,-1,-1,0,505,467,765,466,432,686,378,420,617,0,1
0,1,0,0,0,0,0,0,0,929,782,594,902,690,531,742,533,442,0,1
0,1,0,0,0,0,0,0,0,96,23,123,103,36,12,78,52,47,0,1
0,0,0,1,0,0,0,0,0,472,721,762,12,278,698,27,120,212,0,1
0,0,0,1,0,0,1,0,0,327,133,407,260,504,-10,224,432,-10,0,1
0,1,0,0,0,0,0,0,0,526,203,454,266,239,716,215,318,-10,0,1
0,0,0,1,0,0,0,1,0,215,318,-10,404,306,-10,387,360,780,0,1
0,1,0,0,0,0,0,0,0,363,426,439,490,487,458,584,571,538,0,1
0,1,0,0,0,0,0,0,0,1210,1211,1290,1192,1061,934,1177,988,755,0,1
0,0,0,1,0,0,0,0,0,275,415,427,335,429,398,433,466,429,0,1
0,1,0,0,0,0,0,0,0,281,335,429,373,433,466,476,519,455,0,1
1,0,0,1,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,324,0,0,272,282,0,0,0,0,1
0,0,0,1,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,1
0,1,1,0,0,0,0,0,0,322,340,448,295,296,409,372,408,869,0,1
0,1,0,0,0,0,0,1,1,1346,568,726,1402,613,586,1168,518,454,0,1
1,1,0,1,0,0,0,0,0,518,454,943,586,566,755,647,576,596,0,1
1,0,0,0,0,0,0,0,0,454,943,1066,566,755,1278,576,596,1142,0,1
0,1,0,0,0,0,0,1,0,1149,586,566,1093,647,576,1115,762,836,0,1
1,0,0,0,0,0,1,0,0,586,566,755,647,576,596,762,836,853,0,1
1,0,0,1,0,0,0,0,0,472,463,764,475,420,613,526,494,593,0,1
1,1,0,0,0,0,0,0,0,564,475,420,665,526,494,806,598,654,0,1
0,1,0,0,0,0,0,0,0,665,562,777,625,567,867,589,566,737,0,1
0,1,0,0,0,0,0,0,1,127,64,329,164,151,242,180,231,217,0,1
1,0,0,0,0,0,1,0,0,217,678,2448,184,196,1192,211,179,345,0,1
0,0,0,1,0,0,0,0,0,184,196,1192,211,179,345,249,283,265,0,1
0,0,0,1,0,0,0,1,0,532,493,1271,554,438,940,649,439,670,0,1
0,1,0,0,0,1,0,0,1,795,554,438,1079,649,439,1505,780,524,0,1
0,1,0,1,0,0,1,0,0,780,524,700,817,570,-10,827,590,-10,0,1
1,0,0,1,0,0,1,0,0,434,420,-10,403,418,-10,323,343,-10,0,1
0,-1,-1,1,0,0,1,1,0,279,435,212,155,31,132,115,43,164,0,1
0,1,0,1,0,0,1,1,0,94,38,147,96,23,123,103,36,12,0,1
1,1,0,1,0,0,1,0,0,260,504,-10,224,432,-10,203,454,848,0,1
0,1,0,1,0,0,1,1,0,266,239,716,215,318,-10,404,306,-10,0,1
